group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,HR_1214,loss,2242,24,1.070472792149866,3.3452274754683316e-4,8.920606601248885e-4,0.03125,0.08333333333333333
High-Risk,HR_1214,win,686,5,0.7288629737609329,0.002186588921282799,0.007288629737609329,0.3,1
High-Risk,HR_1215,loss,2377,286,12.031973075305007,0.0015776188472864956,0.0033655868742111907,0.013111888111888112,0.027972027972027972
High-Risk,HR_1215,win,731,6,0.8207934336525308,-6.839945280437756e-4,-0.0027359781121751026,-0.08333333333333333,-0.3333333333333333
High-Risk,HR_1216,loss,23,0,0,0,0,NA,NA
High-Risk,HR_1216,win,4,0,0,0,0,NA,NA
High-Risk,HR_1218,loss,2244,7,0.31194295900178254,-6.684491978609625e-4,-0.0022281639928698753,-0.21428571428571427,-0.7142857142857143
High-Risk,HR_1218,win,659,1,0.15174506828528073,3.7936267071320183e-4,0.0015174506828528073,0.25,1
High-Risk,HR_1219,loss,18190,535,2.941176470588235,-0.03900494777350193,-0.03556899395272128,-1.3261682242990653,-1.2093457943925234
High-Risk,HR_1219,win,6034,185,3.065959562479284,0.09131587669870732,0.04888962545575075,2.9783783783783786,1.5945945945945945
High-Risk,HR_122,loss,378,12,3.1746031746031744,0.003968253968253968,0.007936507936507936,0.125,0.25
High-Risk,HR_122,win,101,0,0,0,0,NA,NA
High-Risk,HR_1220,loss,9077,147,1.6194778010355844,-0.004985127244684367,-0.010245675884102677,-0.3078231292517007,-0.6326530612244898
High-Risk,HR_1220,win,2680,3,0.11194029850746269,0,3.7313432835820896e-4,0,0.3333333333333333
High-Risk,HR_1221,loss,3483,7,0.20097616996841805,3.588860178007465e-4,0.001435544071202986,0.17857142857142858,0.7142857142857143
High-Risk,HR_1221,win,1003,0,0,0,0,NA,NA
High-Risk,HR_1222,loss,609,22,3.6124794745484397,-0.0090311986863711,-0.022988505747126436,-0.25,-0.6363636363636364
High-Risk,HR_1222,win,198,3,1.5151515151515151,0.012626262626262626,0.025252525252525252,0.8333333333333334,1.6666666666666667
High-Risk,HR_1223,loss,2757,171,6.2023939064200215,0.0210373594486761,0.01342038447587958,0.3391812865497076,0.21637426900584794
High-Risk,HR_1223,win,853,14,1.6412661195779603,0.012895662368112544,0.011723329425556858,0.7857142857142857,0.7142857142857143
High-Risk,HR_1224,loss,36,1,2.7777777777777777,-0.006944444444444444,-0.027777777777777776,-0.25,-1
High-Risk,HR_1224,win,12,0,0,0,0,NA,NA
High-Risk,HR_1225,loss,4061,92,2.265451859147993,-0.012312238364934745,-0.002462447672986949,-0.5434782608695652,-0.10869565217391304
High-Risk,HR_1225,win,1286,0,0,0,0,NA,NA
High-Risk,HR_1226,loss,216,0,0,0,0,NA,NA
High-Risk,HR_1226,win,65,0,0,0,0,NA,NA
High-Risk,HR_1227,loss,51705,397,0.7678174257808723,0.0017551494052799536,0.0010443864229765013,0.22858942065491183,0.13602015113350127
High-Risk,HR_1227,win,17001,39,0.22939827068995938,0.0011028763013940356,0.0021175224986765486,0.4807692307692308,0.9230769230769231
High-Risk,HR_1228,loss,11687,15,0.1283477368015744,-0.001925216052023616,-0.0014546076837511765,-1.5,-1.1333333333333333
High-Risk,HR_1228,win,3068,2,0.0651890482398957,0.0017926988265971318,9.778357235984355e-4,2.75,1.5
High-Risk,HR_1229,loss,142,2,1.4084507042253522,-0.0017605633802816902,0,-0.125,0
High-Risk,HR_1229,win,48,3,6.25,0.03125,0.0625,0.5,1
High-Risk,HR_123,loss,34265,1391,4.059535969648329,0.0023931125054720563,0.0029767984824164598,0.05895039539899353,0.07332854061826025
