group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,HR_109,overall,2082,532,25.552353506243996
High-Risk,HR_109,end,16,0,0
High-Risk,HR_1090,overall,32,5,15.625
High-Risk,HR_1090,end,1,0,0
High-Risk,HR_1091,overall,2040,461,22.598039215686274
High-Risk,HR_1091,end,40,0,0
High-Risk,HR_1092,overall,63989,15890,24.832393067558485
High-Risk,HR_1092,end,521,8,1.5355086372360844
High-Risk,HR_1093,overall,1198,267,22.287145242070117
High-Risk,HR_1093,end,11,0,0
High-Risk,HR_1094,overall,503,131,26.043737574552683
High-Risk,HR_1094,end,4,0,0
High-Risk,HR_1095,overall,5,0,0
High-Risk,HR_1095,end,2,0,0
High-Risk,HR_1096,overall,96,17,17.708333333333336
High-Risk,HR_1096,end,2,0,0
High-Risk,HR_1097,overall,1794,412,22.965440356744704
High-Risk,HR_1097,end,16,0,0
High-Risk,HR_1098,overall,151,27,17.880794701986755
High-Risk,HR_1098,end,6,0,0
High-Risk,HR_1099,overall,217,51,23.502304147465438
High-Risk,HR_1099,end,10,0,0
High-Risk,HR_11,overall,1415,303,21.413427561837455
High-Risk,HR_11,end,52,1,1.9230769230769231
High-Risk,HR_110,overall,909,226,24.86248624862486
High-Risk,HR_110,end,7,0,0
High-Risk,HR_1100,overall,597,132,22.110552763819097
High-Risk,HR_1100,end,12,0,0
High-Risk,HR_1101,overall,220,35,15.909090909090908
High-Risk,HR_1101,end,2,0,0
High-Risk,HR_1102,overall,36,6,16.666666666666664
High-Risk,HR_1102,end,1,0,0
High-Risk,HR_1103,overall,3337,800,23.9736290080911
High-Risk,HR_1103,end,49,3,6.122448979591836
High-Risk,HR_1104,overall,178,28,15.730337078651685
High-Risk,HR_1104,end,6,0,0
High-Risk,HR_1105,overall,3012,670,22.244355909694555
High-Risk,HR_1105,end,42,2,4.761904761904762
High-Risk,HR_1106,overall,69,18,26.08695652173913
High-Risk,HR_1106,end,3,0,0
High-Risk,HR_1107,overall,174,39,22.413793103448278
High-Risk,HR_1107,end,2,0,0
High-Risk,HR_1108,overall,3636,798,21.947194719471945
High-Risk,HR_1108,end,54,2,3.7037037037037033
High-Risk,HR_1109,overall,6301,1393,22.107601967941594
High-Risk,HR_1109,end,40,0,0
High-Risk,HR_111,overall,340,80,23.52941176470588
High-Risk,HR_111,end,5,0,0
High-Risk,HR_1110,overall,583,127,21.783876500857634
High-Risk,HR_1110,end,4,0,0
