group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
Low-Risk,LR_776,25,Male,NA,1,0,0,0,5,350,70,27,1,0.5,0.8485714285714285,1,18.571428571428573,39.5,0.5,2.1615384615384614,1,1,0.5,0.8649122807017544,1,106
Low-Risk,LR_777,37,Female,19763.373327213114,1,0,0,0,1,4,4,4,0.25,0.25,0.25,0.25,0,NA,NA,NA,NA,0.25,0.25,0.25,0.25,1
Low-Risk,LR_778,26,Male,NA,1,0,0,0,10,230,23,11.5,2,0.25,1.0923913043478262,1,23.47826086956522,19,0.5,2.7037037037037037,1.5,2,0.25,1.1008522727272727,1,47.75
Low-Risk,LR_779,48,Male,15450.038763229513,1,0,0,0,60,1371,22.85,13,1,0.25,0.35102115244347193,0.25,20.13129102844639,19.75,0.25,1.0878623188405796,0.5,1,0.25,0.35091324200913243,0.25,84
Low-Risk,LR_78,48,Female,12113.173093151574,1,0,0,0,37,2427,65.5945945945946,43,1,0.25,0.3034610630407911,0.25,22.867737948084056,29.5,0.25,0.7545045045045045,0.5,1,0.25,0.30435363247863245,0.25,151
Low-Risk,LR_780,24,Male,17400.353619006208,1,0,0,0,1,2,2,2,1,0.25,0.625,0.625,0,NA,NA,NA,NA,1,0.25,0.625,0.625,1.25
Low-Risk,LR_781,24,Female,15940.847196365661,1,0,0,0,1,42,42,42,0.25,0.25,0.25,0.25,19.047619047619047,0.75,0.25,0.34375,0.25,0.25,0.25,0.25,0.25,5.75
Low-Risk,LR_782,29,Male,12133.001909630855,1,0,0,0,1,31,31,31,0.25,0.25,0.25,0.25,12.903225806451612,0.75,0.25,0.4375,0.375,0.25,0.25,0.25,0.25,5
Low-Risk,LR_783,38,Male,17400.353619006208,1,0,0,0,13,1253,96.38461538461539,67,5,0.5,1.1344772545889865,1,21.14924181963288,99,0.5,3.1452830188679246,2,5,0.5,1.1376518218623481,1,290.5
Low-Risk,LR_784,25,Male,14058.268518749028,1,0,0,0,4,35,8.75,6.5,1,1,1,1,2.857142857142857,1,1,1,1,1,1,1,1,33
Low-Risk,LR_785,51,Female,19242.954350505297,1,0,0,0,10,224,22.4,23.5,1,0.5,0.5870535714285714,0.5,22.767857142857142,39.5,0.5,2.4705882352941178,1,1,0.5,0.5895953757225434,0.5,-24
Low-Risk,LR_786,42,Female,15518.78868880673,1,0,0,0,2,103,51.5,51.5,0.25,0.25,0.25,0.25,18.446601941747574,0.75,0.25,0.4605263157894737,0.5,0.25,0.25,0.25,0.25,12.25
Low-Risk,LR_787,25,Male,17313.317537452913,1,0,0,0,2,83,41.5,41.5,1,0.25,0.3855421686746988,0.25,16.867469879518072,1,0.25,0.5714285714285714,0.5,1,0.25,0.37681159420289856,0.25,18
Low-Risk,LR_788,32,Male,13444.220983470092,1,0,0,0,1,28,28,28,0.25,0.25,0.25,0.25,17.857142857142858,0.5,0.25,0.35,0.25,0.25,0.25,0.25,0.25,4
Low-Risk,LR_789,32,Male,17036.4113979946,1,0,0,0,1,22,22,22,2,0.25,0.5454545454545454,0.5,9.090909090909092,0.5,0.5,0.5,0.5,2,0.25,0.55,0.5,10
Low-Risk,LR_79,50,Male,10406.054254935312,1,0,0,0,29,4470,154.13793103448276,65,2.5,0.25,1.6772371364653245,2,23.691275167785236,198,0.25,4.682011331444759,2,2.5,0.25,1.6831574318381706,2,783
Low-Risk,LR_790,40,Male,17313.317537452913,1,0,0,0,1,134,134,134,0.25,0.25,0.25,0.25,28.35820895522388,1.75,0.25,0.5,0.25,0.25,0.25,0.25,0.25,5
Low-Risk,LR_791,61,Female,14872.74077677282,1,0,0,0,5,171,34.2,22,1,0.25,0.36988304093567254,0.25,20.46783625730994,3.5,0.25,0.6142857142857143,0.5,1,0.25,0.38419117647058826,0.25,30.75
Low-Risk,LR_792,34,Male,15676.546362416108,1,0,0,0,1,4,4,4,0.25,0.25,0.25,0.25,0,NA,NA,NA,NA,0.25,0.25,0.25,0.25,1
Low-Risk,LR_793,37,Female,NA,1,0,0,0,4,289,72.25,52.5,0.5,0.25,0.4143598615916955,0.5,20.069204152249135,9.5,0.25,0.9655172413793104,0.75,0.5,0.25,0.4134199134199134,0.5,39.5
