group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,205,win,782,1,0.1278772378516624,-3.1969309462915604e-4,-0.0012787723785166241,-0.25,-1
High-Risk,206,loss,6216,66,1.0617760617760617,0.0015685328185328187,-1.608751608751609e-4,0.14772727272727273,-0.015151515151515152
High-Risk,206,win,1783,2,0.11217049915872125,5.608524957936063e-4,0.0016825574873808188,0.5,1.5
High-Risk,207,loss,13128,190,1.4472882388787325,0.0038467397928092627,0.0060176721511273614,0.2657894736842105,0.41578947368421054
High-Risk,207,win,4225,11,0.2603550295857988,0.0010059171597633135,0.0026035502958579883,0.38636363636363635,1
High-Risk,208,loss,21,0,0,0,0,NA,NA
High-Risk,208,win,6,0,0,0,0,NA,NA
High-Risk,209,loss,6,0,0,0,0,NA,NA
High-Risk,209,win,5,0,0,0,0,NA,NA
High-Risk,210,loss,3054,34,1.1132940406024885,-0.001719056974459725,-0.006548788474132285,-0.15441176470588236,-0.5882352941176471
High-Risk,210,win,957,2,0.20898641588296762,-5.224660397074191e-4,-0.0010449320794148381,-0.25,-0.5
High-Risk,211,loss,12969,422,3.2539131775773003,0.005860127997532578,0.016346672835222453,0.18009478672985782,0.5023696682464455
High-Risk,211,win,3889,34,0.8742607354075598,0.003149910002571355,0.008999742864489586,0.3602941176470588,1.0294117647058822
High-Risk,212,loss,69,0,0,0,0,NA,NA
High-Risk,212,win,16,0,0,0,0,NA,NA
High-Risk,213,loss,21949,258,1.1754521846097772,-0.002255228028611782,-0.004738256868194451,-0.19186046511627908,-0.40310077519379844
High-Risk,213,win,7341,34,0.46315215910638874,0.0022817054897152976,0.005040185260863642,0.49264705882352944,1.088235294117647
High-Risk,214,loss,44,0,0,0,0,NA,NA
High-Risk,214,win,9,0,0,0,0,NA,NA
High-Risk,215,loss,1333,8,0.6001500375093773,-0.03338334583645911,-0.009752438109527382,-5.5625,-1.625
High-Risk,215,win,455,1,0.21978021978021978,0.001098901098901099,0.002197802197802198,0.5,1
High-Risk,216,loss,263,0,0,0,0,NA,NA
High-Risk,216,win,89,0,0,0,0,NA,NA
High-Risk,217,loss,1882,4,0.21253985122210414,-2.6567481402763017e-4,-0.0010626992561105207,-0.125,-0.5
High-Risk,217,win,481,1,0.2079002079002079,5.197505197505198e-4,0.002079002079002079,0.25,1
High-Risk,218,loss,18794,51,0.27136320102160266,-4.3896988400553364e-4,-0.001277003298925189,-0.16176470588235295,-0.47058823529411764
High-Risk,218,win,5819,0,0,0,0,NA,NA
High-Risk,219,loss,323,5,1.5479876160990713,-0.0015479876160990713,-0.0030959752321981426,-0.1,-0.2
High-Risk,219,win,94,3,3.1914893617021276,0.005319148936170213,0.010638297872340425,0.16666666666666666,0.3333333333333333
High-Risk,220,loss,139,1,0.7194244604316548,0.0035971223021582736,0.007194244604316547,0.5,1
High-Risk,220,win,26,0,0,0,0,NA,NA
High-Risk,221,loss,169,10,5.9171597633136095,-0.13609467455621302,-0.03550295857988166,-2.3,-0.6
High-Risk,221,win,52,2,3.8461538461538463,0.14423076923076922,0.038461538461538464,3.75,1
High-Risk,222,loss,392,2,0.5102040816326531,-0.001913265306122449,-0.00510204081632653,-0.375,-1
High-Risk,222,win,96,0,0,0,0,NA,NA
High-Risk,223,loss,8369,669,7.9937865933803325,0.00988768072649062,0.008961644162982434,0.12369207772795217,0.11210762331838565
High-Risk,223,win,2412,0,0,0,0,NA,NA
High-Risk,224,loss,549,22,4.007285974499089,-0.020947176684881604,-0.020036429872495445,-0.5227272727272727,-0.5
High-Risk,224,win,194,1,0.5154639175257731,0.01288659793814433,0.005154639175257732,2.5,1
High-Risk,225,loss,8,0,0,0,0,NA,NA
High-Risk,225,win,2,0,0,0,0,NA,NA
High-Risk,226,loss,467,4,0.8565310492505354,0.017130620985010708,0.008565310492505354,2,1
High-Risk,226,win,142,0,0,0,0,NA,NA
High-Risk,227,loss,202,8,3.9603960396039604,0,0,0,0
High-Risk,227,win,47,1,2.127659574468085,-0.005319148936170213,-0.02127659574468085,-0.25,-1
High-Risk,228,loss,47,1,2.127659574468085,0.005319148936170213,0.02127659574468085,0.25,1
High-Risk,228,win,16,0,0,0,0,NA,NA
High-Risk,229,loss,32574,210,0.6446859458463805,-0.00223337631239639,-0.005096088905261865,-0.3464285714285714,-0.7904761904761904
High-Risk,229,win,10396,55,0.529049634474798,0.004833589842247018,0.008560984994228549,0.9136363636363637,1.6181818181818182
